"code8","commonName","object","krugerCode","scientificName","genus","specEpith","subSp","class","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","det_invert","det_mamsBirds","det_reptAmph","det_fish","det_vertUnkn","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_mastSoft","det_mastHard","det_mastConifers","det_mastPods","det_mastSamaras","foraging_stratum","activity_cycle","freshwater","marine","terrestrial","aerial","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","TEE_kcal_d","logBodyMass"
"rattusRattus","","","","Rattus rattus","Rattus","rattus","","mammal","Rodentia","Muridae",200,1.816,201.99,NA,1533,115.29,102.645,112,143.14,22.261,NA,5.95,4.28,33.602,4.55,26.087,39.69,546.199,0.437,1453.667,0,2,0.002,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical, Indomalayan, Oceanian, Palearctic",5,64.08035128,2.30102999566398
"rattusRattus","","","","Rattus rattus","Rattus","rattus","","mammal","Rodentia","Muridae",200,1.816,201.99,NA,1533,115.29,102.645,112,143.14,22.261,NA,5.95,4.28,33.602,4.55,26.087,39.69,546.199,0.437,1453.667,0,2,0.002,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical, Indomalayan, Oceanian, Palearctic",5,64.08035128,2.30102999566398
"rattusRattus","","","","Rattus rattus","Rattus","rattus","","mammal","Rodentia","Muridae",200,1.816,201.99,NA,1533,115.29,102.645,112,143.14,22.261,NA,5.95,4.28,33.602,4.55,26.087,39.69,546.199,0.437,1453.667,0,2,0.002,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical, Indomalayan, Oceanian, Palearctic",5,64.08035128,2.30102999566398
"rattusNorvegic","","","","Rattus norvegicus","Rattus","norvegicus","","mammal","Rodentia","Muridae",280,2.867,300,NA,1825,55.23,78.784,70,91.25,21.61,NA,8.855,3.68,54.744,5.81,25,63.75,594.038,3.484,NA,0,1,0.003,NA,30,0,0,0,0,0,20,0,40,10,NA,NA,NA,NA,NA,"graze",1,0,0,1,0,NA,NA,NA,NA,"mainland",NA,NA,"Afrotropical, Australasian, Indomalayan, Nearctic, Neotropical, Oceanian, Palearctic",1,82.00156126,2.44715803134222
"otomysTropical","","","","Otomys tropicalis","Otomys","tropicalis","","mammal","Rodentia","Muridae",114.45,1.396,190.24,NA,669.167,94.562,94.562,NA,134.605,40.043,NA,1.65,4.125,46.417,13.46,12.872,30,636.804,0.322,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,4000,2100,1900,NA,"mainland",NA,NA,"Afrotropical",3,42.5656743,2.05861579701056
"otomysTropical","","","","Otomys tropicalis","Otomys","tropicalis","","mammal","Rodentia","Muridae",114.45,1.396,190.24,NA,669.167,94.562,94.562,NA,134.605,40.043,NA,1.65,4.125,46.417,13.46,12.872,30,636.804,0.322,NA,0,1,NA,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,4000,2100,1900,NA,"mainland",NA,NA,"Afrotropical",3,42.5656743,2.05861579701056
"otomysBarbouri","","","","Otomys barbouri","Otomys","barbouri","","mammal","Rodentia","Muridae",114.45,1.375,190.24,NA,669.167,97.884,97.884,NA,137.927,40.043,NA,1.715,4,46.046,13.96,12.872,30,643.805,0.322,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,4300,3200,1100,NA,"mainland",NA,NA,"Afrotropical",2,42.5656743,2.05861579701056
"otomysIrroratu","","","","Otomys irroratus","Otomys","irroratus","","mammal","Rodentia","Muridae",114.45,1.38,190.24,NA,669.167,113.59,97.884,91,137.927,40.043,4,1.715,4,46.253,13.96,12.872,30,639.19,0.322,3004.04,0,1,0.001,NA,0,0,0,0,0,0,10,0,10,80,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,NA,NA,NA,0,"mainland",1,0,"Afrotropical",3,42.5656743,2.05861579701056
"otomysBurtoni","","","","Otomys burtoni","Otomys","burtoni","","mammal","Rodentia","Muridae",114.45,1.288,163.48,NA,669.167,82.177,82.177,NA,122.221,40.043,NA,1.78,4,43.837,13.96,12.96,30,625.751,0.322,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",2,0,0,1,0,4000,2000,2000,NA,"mainland",NA,NA,"Afrotropical",1,42.5656743,2.05861579701056
"otomysLacustri","","","","Otomys lacustris","Otomys","lacustris","","mammal","Rodentia","Muridae",114.45,1.387,190.24,NA,669.167,97.884,97.884,NA,137.927,40.043,NA,1.715,4,46.352,13.96,12.872,30,644.205,0.322,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"graze",2,1,0,1,0,2300,1400,900,NA,"mainland",NA,NA,"Afrotropical",2,42.5656743,2.05861579701056
